cat,subsect_ID,valley,area_kmsq,lithic_density,total_lithics,total_retouched,retouch_freq,flakes,blades,bladelets,flake_cores,blade_cores,chunks,core_rejuv,flake_tech,blade_tech,ret_flakes,geometrics,microburins,bldt_utilized,bldt_ret,bkd_pieces,bkd_pts,drills,proj_pts,total_backed,dent_sickl,MPaleo_types,UPaleo_types,Neol1_types,Neol2_types,Neol_types,settlmnt_wt,MPaleo_TI,MPaleo_SII,MPaleo_SII_ntile,UPaleo_TI,UPaleo_SII,UPaleo_SII_ntile,LUPaleo_TI,LUPaleo_SII,LUPaleo_SII_ntl,Neol1_TI,Neol1_SII,Neol1_SII_ntl,Neol2_TI,Neol2_SII,Neol2_SII_ntl,elev_min,elev_max,elev_range,elev_mean,elev_stddev,elev_variance,elev_cf_var,distcoast,distcoast_30ka,distcoast_18ka,distcoast_13ka,val_elev
110,PLL-10,Gorgos,0.07775,38.5852090032154,3,2,0.67,1,1,1,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0.25,0.3,0.075,25,0.5,0.125,50,0.7,0.175,50,0.9,0.225,25,0.3,0.075,10,181,188,7,184.029487179487,1.21017152570609,1.4645151216298,0.657596532084983,10924.552009,12962.885674,13448.828532,12962.885674,"""246m Gorgos"""
111,PLL-11,Gorgos,0.091,10.989010989011,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.03,10,0.1,0.01,10,0.1,0.01,10,0.1,0.01,1,0.1,0.01,1,176,186,10,181.534653465347,2.21758112005615,4.91766602402948,1.22157454663578,10671.002715,12734.4943,13211.286184,12734.4943,"""246m Gorgos"""
111,PLL-11,Gorgos,0.091,10.989010989011,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.03,10,0.1,0.01,10,0.1,0.01,10,0.1,0.01,1,0.1,0.01,1,176,186,10,181.534653465347,2.21758112005615,4.91766602402948,1.22157454663578,10671.002715,12734.4943,13211.286184,12734.4943,"""246m Gorgos"""
111,PLL-11,Gorgos,0.091,10.989010989011,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.03,10,0.1,0.01,10,0.1,0.01,10,0.1,0.01,1,0.1,0.01,1,176,186,10,181.534653465347,2.21758112005615,4.91766602402948,1.22157454663578,10671.002715,12734.4943,13211.286184,12734.4943,"""246m Gorgos"""
113,PLL-13,Gorgos,0.105528,9.47615798650595,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.01,1,0.7,0.07,25,0.5,0.05,25,0.3,0.03,10,0.3,0.03,10,173,181,8,175.397727272727,1.73285829340212,3.00279786501249,0.987959376866771,10249.352512,12360.717697,12819.200013,12360.717697,"""246m Gorgos"""
113,PLL-13,Gorgos,0.105528,9.47615798650595,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.01,1,0.7,0.07,25,0.5,0.05,25,0.3,0.03,10,0.3,0.03,10,173,181,8,175.397727272727,1.73285829340212,3.00279786501249,0.987959376866771,10249.352512,12360.717697,12819.200013,12360.717697,"""246m Gorgos"""
113,PLL-13,Gorgos,0.105528,9.47615798650595,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.01,1,0.7,0.07,25,0.5,0.05,25,0.3,0.03,10,0.3,0.03,10,173,181,8,175.397727272727,1.73285829340212,3.00279786501249,0.987959376866771,10249.352512,12360.717697,12819.200013,12360.717697,"""246m Gorgos"""
113,PLL-13,Gorgos,0.105528,9.47615798650595,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.01,1,0.7,0.07,25,0.5,0.05,25,0.3,0.03,10,0.3,0.03,10,173,181,8,175.397727272727,1.73285829340212,3.00279786501249,0.987959376866771,10249.352512,12360.717697,12819.200013,12360.717697,"""246m Gorgos"""
122,SLN-3,Gorgos,0.051285,19.4988788144682,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.03,10,0.1,0.01,10,0.1,0.01,10,0.1,0.01,1,0.1,0.01,1,211,226,15,217.291338582677,4.47321025877623,20.0096100192209,2.05862336159074,13124.385317,15477.22595,15998.593859,15477.22595,"""246m Gorgos"""
122,SLN-3,Gorgos,0.051285,19.4988788144682,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.03,10,0.1,0.01,10,0.1,0.01,10,0.1,0.01,1,0.1,0.01,1,211,226,15,217.291338582677,4.47321025877623,20.0096100192209,2.05862336159074,13124.385317,15477.22595,15998.593859,15477.22595,"""246m Gorgos"""
122,SLN-3,Gorgos,0.051285,19.4988788144682,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.03,10,0.1,0.01,10,0.1,0.01,10,0.1,0.01,1,0.1,0.01,1,211,226,15,217.291338582677,4.47321025877623,20.0096100192209,2.05862336159074,13124.385317,15477.22595,15998.593859,15477.22595,"""246m Gorgos"""
