bag_number,date,region,stratum,sector,subsector,site,abraded,edge_damage,technological_class,completeness,size_class,cortex,platform_type,blade_section,retouched_tool_type,retouch_mode,sheen,count,length,width,thickness,total,notes
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,3,1,1,1,2,,,,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,3,1,1,1,2,,,,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,1,1,1,2,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,6,,2,,,,,,,5,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,6,,2,,,,,,,4,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,1.2,2,2,1,,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,6,,1,,,,,,,5,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,6,,1,,,,,,,9,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,2,1,2,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,3,2,2,1,2,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,2,1,2,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,2,2,0,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,2,1,0,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,1,1,0,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,3,2,2,1,0,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,3,2,1,1,2,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,1,1,0,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,1,1,0,,,,,1,0,0,0,2760,
