REGION,DATE,AREA,SECTOR,SSECTOR,SITE,COUNT,EROS,LABIO,BORDE,CUELLO,GALBO,BASE,PRENSION,DEC_1,DEC_2,DEC_3,BOLSA,MICRO,PSDA,TOTAL_CERA
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,3,2,,,,1,,,6,,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,3,2,,,,1,,,3.1,,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,1,0,2,1,,,,,,,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,1,0,1,1,,,,,,,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,1,0,1,,,,,,7,,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,4,1,1,2,,,,,,,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,1,0,1,,,,,,,,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,7,0,1,,,,,,,,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,1,0,2,,,,,,,,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,2,0,32,,,,,,,,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,1,0,1,,,,,,3.1,,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,1,0,52,,,,,,,,,92,,1,3301
serpis,10/22/1995,BP,BP-4,BP-4-18,AC-44,87,0,,,,1,,,,,,93,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-18,AC-44,1,0,,,,,,11,,,,93,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-18,AC-44,5,0,1,,,,,,,,,93,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-18,AC-44,2,0,1,,,,,3,,,,93,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-18,AC-44,1,0,52,,,,,,,,,93,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-18,AC-44,1,0,,,,1,,,5,,,93,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,1,0,2,,,,,,,,,94,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,1,0,1,,,,,,6,,,94,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,1,0,1,2,,,,,6,,,94,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-5,AC-44,129,11,,,,1,,,,,,95,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-5,AC-44,1,0,0,0,0,0,,11,,,,95,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-5,AC-44,2,0,,,,1,,,3.1,,,95,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-5,AC-44,1,0,,,,1,,,6,,,95,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-5,AC-44,5,0,1,,,,,,,,,95,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-5,AC-44,1,0,1,,,,,,5,,,95,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-5,AC-44,1,0,32,,,,,1,2.1,,,95,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-5,AC-44,1,0,,,,,4.1,,,,,95,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-5,AC-44,1,0,,,,,4.2,,,,,95,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-5,AC-44,1,0,,,,1,,1,2.1,,,95,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-5,AC-44,1,0,1,1,,,,,,,,95,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-5,AC-44,2,0,1,2,,,,,,,,95,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-5,AC-44,1,0,2,,,,,,,,,95,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-5,AC-44,1,0,1,2,,,,,,,,95,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-5,AC-44,1,0,,,,,,1,,,,95,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-5,AC-44,1,0,,,,1,,,4.6,5,,95,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-5,AC-44,1,0,,,,2,,,,,,95,,1,3301
serpis,10/22/1995,BP,BP-4,BP-4-5,AC-44 (06),102,3,,,,1,,,,,,96,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-5,AC-44 (06),1,0,,,,1,,,7,,,96,,2,3301
